RIC,Returns Mean,Retturns Variance,Returns Skewness,Returns Kurtosis,ESG score Mean,ESG score Variance
AAPL.OQ,0.003873,0.001794,-0.649919,3.941164,65.337778,84.523889
ABT.N,0.001726,0.000832,-0.819589,4.641969,80.047778,9.499889
ACN.N,0.002095,0.001099,-0.701738,2.296961,78.635556,26.377803
ADBE.OQ,0.002263,0.002065,-1.081566,5.481946,69.279444,69.310629
AIG.N,-0.002646,0.00842,-5.12191,110.302376,56.676111,202.761719
AMD.OQ,0.003602,0.006862,-0.220429,2.041019,68.676111,14.438813
AMGN.OQ,0.001996,0.001062,-0.236852,2.569651,66.196667,168.735365
AMT.N,0.001596,0.001198,-0.629543,2.651828,61.552778,277.964504
AMZN.OQ,0.004173,0.002402,-0.093594,3.956687,61.403333,512.041224
AXP.N,0.001986,0.001951,-0.524925,5.459812,62.025556,113.815426
BA.N,0.001004,0.002507,-2.003656,28.808035,73.472222,53.697218
BAC.N,0.000213,0.004229,-1.1102,27.080054,75.770556,77.353935
BK.N,0.000847,0.001974,-0.053204,17.46067,66.340556,181.675982
BKNG.OQ,0.004122,0.002347,-0.060267,2.902688,32.863333,350.269624
BLK.N,0.001815,0.001804,-0.286088,6.657594,56.832222,420.306701
BMY.N,0.000562,0.001088,-0.698286,3.830175,74.171111,17.038881
BRKb.N,0.0018,0.000698,-0.322566,4.540129,19.902778,86.089633
C.N,-0.001189,0.005156,-2.148409,31.751214,82.545,26.528603
CAT.N,0.002053,0.002047,-0.205108,2.991318,69.182778,119.762339
CL.N,0.000764,0.000588,-0.495647,2.706902,83.252778,49.540798
CMCSA.OQ,0.001305,0.001232,-0.200838,2.220868,52.147222,161.187857
COF.N,0.001628,0.003138,-0.489267,7.529163,62.942222,181.097607
COP.N,0.000374,0.002198,-0.741174,5.410368,72.372222,55.575077
COST.OQ,0.002776,0.000791,-0.586281,2.880007,64.016111,97.138025
CRM.N,0.002942,0.002595,-0.232787,3.462732,54.722778,144.201951
CSCO.OQ,0.001009,0.001279,-0.717711,4.460142,84.252222,6.296324
CVS.N,0.000715,0.001384,-0.581017,4.330047,84.71,27.739388
CVX.N,0.000547,0.00126,-0.415756,3.808647,74.449444,58.769911
DE.N,0.001727,0.001965,-0.601741,6.142315,66.583889,34.149625
DHR.N,0.002112,0.001051,-0.480526,2.417711,57.587222,498.128198
DIS.N,0.001347,0.001364,-0.323819,4.006218,67.468889,25.094599
DUK.N,0.000787,0.000633,-0.838434,6.64656,71.304444,11.55092
EMR.N,0.000908,0.001292,-0.263308,2.044553,62.303889,175.446649
FDX.N,0.001078,0.001875,-0.526118,4.990248,71.233333,39.7486
GD.N,0.001457,0.001027,-0.741042,4.431678,53.721667,141.213803
GE.N,0.000573,0.002219,-0.571076,4.390338,83.295556,8.029908
GILD.OQ,0.001753,0.001298,-0.282102,2.094637,66.154444,534.890661
GOOGL.OQ,0.002862,0.001551,-0.04381,2.557501,62.992222,229.339042
GS.N,0.001403,0.002025,-0.554677,6.084659,71.163333,170.001518
HD.N,0.002874,0.001072,-0.944815,6.173193,69.973889,36.494472
HON.OQ,0.001371,0.001128,-0.661649,5.075005,66.361111,154.489116
IBM.N,0.001128,0.001015,-0.601519,4.374852,74.475,15.866521
INTC.OQ,0.000359,0.002324,-0.767726,9.298251,89.54,7.117635
INTU.OQ,0.003275,0.001424,-0.89667,5.434073,71.147222,212.95588
ISRG.OQ,0.002706,0.002555,-0.55562,6.679499,44.223333,150.054894
JNJ.N,0.001123,0.000501,-0.665061,4.770334,86.989444,10.584547
